class,mean(ax),std(ax),min(ax),25th(ax),50th(ax),75th(ax),max(ax),mean(ay),std(ay),min(ay),25th(ay),50th(ay),75th(ay),max(ay),mean(az),std(az),min(az),25th(az),50th(az),75th(az),max(az),mean(aT),std(aT),min(aT),25th(aT),50th(aT),75th(aT),max(aT),mean(freq)
Vafa-Pocket,-0.5402784168184496,2.178609945729221,-5.4214418564426134,-1.939323392411041,-0.9047569602388431,0.6935903268842896,5.277096355905163,-0.8357296195100474,3.3429822296018235,-11.605283020020584,-3.5539529302066413,-0.8953910029578327,0.8277986128285679,7.040436243053144,-0.9617674831128599,5.711147583280877,-17.495518819986852,-5.16340658770139,-0.6218213605236115,4.099092413899297,7.82514927496705,7.267438545550716,3.321691617695398,1.8265666042217483,5.337795027317687,6.616504656020389,8.542192035096026,19.9220997240063,2.0
Vafa-Pocket,-0.19723662209347884,2.0349072842093894,-4.706887043201075,-1.6146168288610787,-0.17309225975328704,0.9106613787781906,7.038815257505763,-0.6619571765919948,2.749337046264145,-5.1897876258842,-3.069981191423299,-0.7201172952690744,0.7931301207444342,5.883738572149584,-0.7010438237526267,4.774033981023783,-16.2245819935857,-4.219662529300598,0.2688198833583911,3.228339991790427,6.3616463643354475,5.9440988577789735,2.8086781895365323,1.1423370012692644,3.9771377146240736,5.345155947553927,7.464182015641295,17.79230390850512,0.0624826437100694
Song-Hand,-0.03674636089141414,1.1313265223523368,-2.649881522953529,-0.8246036630639172,-0.10875450475255677,0.8440741412460977,2.54737808765527,-0.3914140685180223,1.2991081914983749,-2.861401121410864,-1.351399674425823,-0.6061623448858998,0.7269557491162457,2.1176230862253567,0.34097875270829275,3.570845067054628,-6.183055813873052,-2.6017195172897223,0.2791024881006178,3.3225482304121146,9.081675541368728,3.7938478431025495,1.5141988926094458,1.2922502545764512,2.6510923412286043,3.599398987034773,4.736150502399784,9.094418664011274,0.06251736593500823
Song-Hand,0.0287298775028211,1.021625294566097,-2.3837310396417988,-0.6281700323201166,-0.026219181041569638,0.4976264053224545,3.3299823116325142,-0.13184705139859082,0.6714207978830505,-2.222711856241926,-0.6078450014540162,-0.12715936111397041,0.4158343603286645,1.3586689767601476,0.14859005823550805,1.941711362855584,-3.1586649646068796,-1.458031805100148,0.013150123574045689,1.7466513201122964,6.539311548922492,2.2478112078259675,0.9345954372165706,0.553374782248888,1.5086855878126126,2.1487056241896036,2.827262923495571,6.461785875592001,0.06251736593500823
Song-Hand,-0.11663244740147011,1.0678162552273374,-3.8836669568990154,-0.6356280026708185,0.012124461313559142,0.6121937692339849,2.579649896320426,-0.3031194539837871,0.8099102893723591,-2.1116015954315146,-0.866759048197725,-0.3907950015931519,0.2201346827842951,1.8583252940937,0.2538007518612856,2.4588577691098257,-5.99666356906301,-1.775926462179495,0.3356946197590747,2.333543605235536,5.503071778336767,2.7214986992409025,1.1385290384471483,0.6474556603820667,1.8064702859560895,2.5808428322923667,3.471527639840327,6.2575833504954,2.7515286270150057
Song-Hand,-0.06301460474785034,0.9970977571666526,-2.552448800876738,-0.748177682608468,0.1419930377615531,0.6459564075311129,1.8095219107199836,-0.30825649758205537,0.7804210415547617,-1.9098580883269956,-0.8954348873777274,-0.2662704400793419,0.3444909534316279,1.5465657062617137,0.16492274086827027,2.300545104731113,-4.041748493076481,-1.9656143793265284,0.12466020624707724,2.353781907839463,4.854813183009891,2.616257425851639,0.8711823620378933,0.8605163614752431,1.9484698408964356,2.5386368632324197,3.269273576635812,5.137509675429459,2.875
Song-Hand,-0.07397281646968426,0.758859133712501,-2.1502841899218668,-0.5431850257892883,-0.019978511437777787,0.40059293548215136,1.810740958842282,-0.17647950255842104,0.7079621524498795,-1.8672788004211378,-0.6822930689713897,-0.26063752925197436,0.44821149891991047,1.3668843978554488,0.16755758681916041,1.9508772723624186,-3.728722387342294,-1.4386048262169822,0.2043576190251366,1.9321526310287067,3.530565135069031,2.236537323379521,0.7127798177931759,0.43396437875071503,1.6590361990768958,2.231841694443254,2.8061969739025687,3.7709110811113895,0.06244796003329611
Song-Hand,0.03158097563099163,0.7872516894223986,-1.9825312409747935,-0.38761981742676593,0.050283477372709,0.5305592152996812,2.0792414901928034,-0.26020079755218745,0.7513410051792375,-1.910166875194727,-0.7247951336451612,-0.35637663558309507,0.1925678742033183,1.6209180498369833,0.25905166675738545,2.302428423629821,-4.28764401849953,-1.7377488923698619,0.13029371190036348,2.114674204178982,6.343830594254821,2.484048133181377,1.021906630151622,0.6319688908587247,1.7204758436328424,2.3731358524058055,3.0761731190729327,6.475728993362927,2.875
Vafa-Hand,-0.011491837936443702,0.8833732061563981,-2.436539275438531,-0.5910255203197559,0.03674985971526261,0.5763229365689241,2.53515538869868,-0.0018160697187164165,0.8595780353567664,-1.7943269620812625,-0.6704485807163214,-0.08981196621225274,0.540592115224842,1.9744855750011372,0.12151346946908619,1.9791283375708317,-3.487722074433293,-1.6287887924276863,0.13126194558832244,1.7525559537640496,5.081013548888266,2.349880714427242,0.8253603067035178,0.772260149662329,1.7766265022546408,2.243306721199962,2.9118144261247956,5.607795728417726,0.06255212677231725
Vafa-Hand,0.0017090313951379933,0.8687663221124928,-2.4454043657108318,-0.49228491917769945,0.09134069647712985,0.5646416997161097,1.8491674510658578,-0.15216991332530808,0.9100679419380334,-1.685115357095808,-0.8351624170274529,-0.3596936843624069,0.4882003789452182,2.011891965139108,0.08045935939589893,2.0576512550754376,-3.9776747973076825,-1.637850425417671,0.04019411762476029,1.8116269650100485,4.610571465863901,2.4482618185958493,0.7963062103110647,1.0069216839099413,1.8422869575277958,2.260763899208348,3.0016687949053518,5.027469984116587,2.875
Vafa-Hand,0.025558306953402905,1.1060671704835265,-2.61478345462228,-0.6844311681376953,0.04081240609935012,0.7096117155566193,2.3738843130257408,-0.09897935353440357,0.7802143164585426,-2.355182653929718,-0.6219224394715922,-0.16694661821561826,0.4581292099299702,1.9648854264556392,0.0525326381487843,2.2249865176421784,-3.66068989428868,-2.04478725921185,-0.04370208723821459,1.9546972949375563,4.861495006981129,2.589741097227531,0.9169304691499766,0.8250665889811301,1.9244203753723614,2.5441869666840744,3.1973941561483055,5.501010198763418,2.875
Vafa-Hand,0.13855395686482325,1.153186125761364,-2.675777982508222,-0.5569558426725657,-0.02378745489194554,0.8863924125930971,3.6257284367134615,-0.1714319382496596,0.8775797547937759,-1.9118134248907375,-0.8192447416195058,-0.2003504534427313,0.48634685352836304,2.2543491427654527,0.03278136747587069,2.3012787937271066,-4.605159750096559,-1.9138363214317438,-0.2628380403538,1.867428087226881,5.434167058536557,2.6407381159855006,0.9852079686294836,0.9146934658568857,1.9438604117434737,2.403852325256916,3.208746454146508,5.5685635256691866,2.625
Vafa-Hand,-0.11868537761808653,0.9499738814110845,-2.5265510650625376,-0.8012596792203197,0.05723683425147196,0.5273770842995699,2.278271759425084,-0.15416020203930472,0.7713041115669056,-1.5038913500793674,-0.7486632070215636,-0.2980461396576434,0.3762570864462882,1.552621524813497,0.2040194096536692,2.0317528359693626,-3.567163553626202,-1.4747361725419672,0.07826231412086576,1.8455716221283367,5.365185842937499,2.3092796996998715,0.9524747920882005,0.4850985458373331,1.5485401822233704,2.2220239551839525,2.900474461077821,5.448958282702683,2.6279134295227493
Vafa-Hand,-0.051419570866747304,0.7685457601074366,-2.3383624072444893,-0.4713424307983152,0.0858877765583037,0.40981052640128895,1.5822649772865887,-0.09306672833834452,0.704909433498711,-1.8288773755235836,-0.5872124368003108,-0.15503817192608188,0.38769227057291256,1.9557599575012714,0.17262373065454273,2.0409824327088413,-3.7836660294738844,-1.5858638546314006,0.33860058292035017,1.6999931185385684,5.738285499011896,2.283140759860682,0.9222768211608299,0.39645264261892066,1.5795985870013234,2.3029286776464075,2.810359835363108,5.8468118064437355,2.75
Song-Ankle,-0.2786420344300105,0.6965942147438139,-2.2442679758757462,-0.64167050310309,-0.27452022245733376,0.14846577731932836,1.272973321965336,0.9712058011509598,0.3422571813344648,0.35556651221108476,0.6242198956627958,1.03590067056135,1.2390890966600916,1.5198373600532102,0.22804878134949547,0.7157418954099778,-0.840190799369072,-0.3281602750406959,-0.017530806289297703,0.7091552037816273,1.6893054621126098,3.820299465988517,0.8342740310188549,0.6043032485537682,3.564903224759763,3.853540321632393,4.242872049848909,5.186499355275249,0.37724550898203546
Song-Ankle,0.15137915078659608,0.9662245799088014,-3.6170254227394234,-0.31526414287102283,0.293960310232643,0.943304519539832,1.43340337657927,0.8168601224023448,0.22966102010975376,0.35201866274350807,0.6882272020245064,0.8037303257327713,0.9229622877590512,1.8997412322996359,-0.02067781657909165,0.33860810715039524,-0.7668743445493016,-0.2936915099414786,-0.07168478354599292,0.26937073696855957,0.5756241052079332,3.6934060739639016,0.9325046796736601,1.9668212907681564,2.9842387872800797,3.64768059042279,4.259110146388025,6.150257554048681,0.06344410876132756
Song-Ankle,-0.3595319084648539,1.309764522009697,-2.2444797111398445,-1.4063460149590605,-0.577333171307759,0.2405088387842539,2.793440011020233,1.6803243983250093,0.8248073760815645,0.16012216649805858,1.1237098142510342,1.4968090857688368,2.4365371180398947,3.2282083239913586,0.062218371287078585,1.26124524138398,-2.533881411846635,-0.8928285448215167,0.31878614246934345,1.0069200742018607,1.8703656211697217,6.518326172108144,1.825118398451591,0.9517883724947211,5.20636790633532,6.369812335973939,7.7596907104651764,9.991038384291079,0.12650602409638267
Song-Ankle,0.6355300004314388,1.1739816873483173,-2.0176531287859105,0.17232745863119903,0.5009489764504647,0.9490752180484602,3.040917123165609,1.0154413158520237,0.5395515402793382,0.043346566089503526,0.626811260930906,1.2098464767955805,1.4132209319305689,1.777880498908218,-0.3387789783358429,1.3145052876272278,-2.7259966046757005,-1.0078555885216662,-0.5122355866939854,0.5886119854790602,2.3810752196760037,6.086272594063496,2.117084585717408,0.45008613969648953,5.719250977441973,6.810144609098155,7.390181195730958,8.65909228806703,0.06306306306306197
Song-Ankle,3.0165283042376574,1.415389142870808,0.2638364216629113,2.1471713585383694,2.8365921816447246,3.8033393469572987,9.458648033736132,2.402419366977558,0.594696457097078,1.4235370606115318,1.996803658935584,2.3139311086554137,2.764037745190951,5.1368980428610715,-0.40965336286739934,0.6078988775742867,-1.0810680733705431,-0.7909689203589151,-0.7085853365756951,-0.26938062087105663,1.2418031320946123,7.338333572158148,1.06531682630435,5.193419974761894,6.583993045351406,7.26549848839872,8.022011638997316,11.1942611007695,0.06306306306306197
